group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
12,Phân biệt từ dễ nhầm,Mina bài 1,1,せんせい và きょうし khác nhau thế nào?,Sensei và kyoushi khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,せんせい là cách gọi thầy cô; きょうし là nghề giáo viên,せんせい là học sinh; きょうし là bác sĩ,せんせい là kỹ sư; きょうし là nhân viên,せんせい là quốc gia; きょうし là đại học
12,Phân biệt từ dễ nhầm,Mina bài 1,2,だれ và どなた khác nhau thế nào?,Dare và donata khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,どなた lịch sự hơn だれ,だれ lịch sự hơn どなた,だれ nghĩa là bao nhiêu tuổi,どなた nghĩa là quốc gia
12,Phân biệt từ dễ nhầm,Mina bài 1,3,あのひと và あのかた khác nhau thế nào?,Anohito và anokata khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,あのかた lịch sự hơn あのひと,あのひと lịch sự hơn あのかた,あのかた nghĩa là bạn,あのひと nghĩa là tôi
12,Phân biệt từ dễ nhầm,Mina bài 1,4,なんさい và おいくつ khác nhau thế nào?,Nansai và oikutsu khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,おいくつ lịch sự hơn なんさい,なんさい lịch sự hơn おいくつ,おいくつ nghĩa là ai,なんさい nghĩa là tên
12,Phân biệt từ dễ nhầm,Mina bài 1,5,かいしゃいん và しゃいん khác nhau thế nào?,Kaishain và shain khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,かいしゃいん là nhân viên công ty nói chung; しゃいん là nhân viên của công ty cụ thể,かいしゃいん là bác sĩ; しゃいん là kỹ sư,かいしゃいん là sinh viên; しゃいん là giáo viên,かいしゃいん là ngân hàng; しゃいん là bệnh viện
12,Phân biệt từ dễ nhầm,Mina bài 1,6,〜さん và 〜ちゃん khác nhau thế nào?,〜san và 〜chan khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,〜さん dùng lịch sự chung; 〜ちゃん dùng thân mật với bé/em,〜ちゃん lịch sự hơn 〜さん,〜さん chỉ dùng cho quốc gia,〜ちゃん nghĩa là người nước...
12,Phân biệt từ dễ nhầm,Mina bài 1,7,はい và いいえ khác nhau thế nào?,Hai và iie khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,はい là vâng; いいえ là không,はい là không; いいえ là vâng,はい là xin lỗi; いいえ là cảm ơn,はい là tên; いいえ là tuổi
12,Phân biệt từ dễ nhầm,Mina bài 1,8,インド và インドネシア khác nhau thế nào?,Indo và indoneshia khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,インド là Ấn Độ; インドネシア là Indonesia,インド là Indonesia; インドネシア là Ấn Độ,Cả hai đều là Nhật Bản,Cả hai đều là Trung Quốc
12,Phân biệt từ dễ nhầm,Mina bài 1,9,アメリカ và イギリス khác nhau thế nào?,Amerika và igirisu khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,アメリカ là Mỹ; イギリス là Anh,アメリカ là Anh; イギリス là Mỹ,アメリカ là Pháp; イギリス là Đức,アメリカ là Brazil; イギリス là Thái Lan
12,Phân biệt từ dễ nhầm,Mina bài 1,10,韓国（かんこく） và 中国（ちゅうごく） khác nhau thế nào?,Kankoku(kankoku) và chuugoku(chuugoku) khác nhau thế nào?,Chọn cách phân biệt đúng giữa hai từ/cụm được hỏi.,韓国 là Hàn Quốc; 中国 là Trung Quốc,韓国 là Trung Quốc; 中国 là Hàn Quốc,韓国 là Nhật Bản; 中国 là Việt Nam,韓国 là Thái Lan; 中国 là Ấn Độ
