group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Đại từ / cách gọi người,Mina bài 1,1,わたし nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,bạn,tôi,mọi người,người kia
1,Đại từ / cách gọi người,Mina bài 1,2,わたしたち nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,chúng tôi / chúng ta,bạn,vị kia,học sinh
1,Đại từ / cách gọi người,Mina bài 1,3,あなた nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,tôi,bạn,mọi người,ai
1,Đại từ / cách gọi người,Mina bài 1,4,あのひと nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,người kia,giáo viên,bác sĩ,kỹ sư
1,Đại từ / cách gọi người,Mina bài 1,5,あのかた nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,bé / em,vị kia,mọi người,nhân viên
1,Đại từ / cách gọi người,Mina bài 1,6,みなさん nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,ai,bạn,mọi người,chúng tôi
1,Đại từ / cách gọi người,Mina bài 1,7,〜さん dùng để gọi ai?,Chọn từ hoặc cụm phù hợp để hoàn thành câu.,anh/chị/ông/bà...,bé / em,người nước...,mấy tuổi
1,Đại từ / cách gọi người,Mina bài 1,8,〜ちゃん nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,anh/chị,bé / em,vị kia,nhân viên
1,Đại từ / cách gọi người,Mina bài 1,9,〜くん nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,em/cậu,mọi người,bác sĩ,giáo viên
1,Đại từ / cách gọi người,Mina bài 1,10,〜じん nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,người nước...,tuổi,tên,đại học
