group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Từ khác / câu thông dụng,Mina bài 2,1,いす nghĩa là gì?,isu nghia la gi?,Hỏi nghĩa tiếng Việt của: いす,bàn,ghế,cặp,ô / dù
4,Từ khác / câu thông dụng,Mina bài 2,2,チョコレート nghĩa là gì?,chokoreeto nghia la gi?,Hỏi nghĩa tiếng Việt của: チョコレート,cà phê,sô cô la,tiếng Anh,tiếng Nhật
4,Từ khác / câu thông dụng,Mina bài 2,3,コーヒー nghĩa là gì?,koohii nghia la gi?,Hỏi nghĩa tiếng Việt của: コーヒー,sô cô la,cà phê,radio,tivi
4,Từ khác / câu thông dụng,Mina bài 2,4,えいご nghĩa là gì?,eigo nghia la gi?,Hỏi nghĩa tiếng Việt của: えいご,tiếng Nhật,tiếng Anh,tiếng Việt,tiếng Pháp
4,Từ khác / câu thông dụng,Mina bài 2,5,日本語（にほんご） nghĩa là gì?,nihongo nghia la gi?,Hỏi nghĩa tiếng Việt của: 日本語（にほんご）,tiếng Anh,tiếng Nhật,tiếng Việt,tiếng Trung
4,Từ khác / câu thông dụng,Mina bài 2,6,〜ご nghĩa là gì?,-go nghia la gi?,Hỏi nghĩa tiếng Việt của: 〜ご,tiếng...,cái...,người...,sách...
4,Từ khác / câu thông dụng,Mina bài 2,7,なん nghĩa là gì?,nan nghia la gi?,Hỏi nghĩa tiếng Việt của: なん,ai,cái gì,ở đâu,bao nhiêu tuổi
4,Từ khác / câu thông dụng,Mina bài 2,8,そう nghĩa là gì?,sou nghia la gi?,Hỏi nghĩa tiếng Việt của: そう,vậy / như vậy,không phải,cảm ơn,xin mời
4,Từ khác / câu thông dụng,Mina bài 2,9,ちがいます nghĩa là gì?,chigaimasu nghia la gi?,Hỏi nghĩa tiếng Việt của: ちがいます,đúng vậy,không phải / sai rồi,vậy à,cảm ơn
4,Từ khác / câu thông dụng,Mina bài 2,10,そうですか nghĩa là gì?,sou desu ka nghia la gi?,Hỏi nghĩa tiếng Việt của: そうですか,đúng vậy,vậy à,không phải,xin mời
