group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Tuần / tháng / năm,Mina bài 5,1,せんしゅう nghĩa là gì?,せんしゅう,tuần trước,tuần này,tuần sau,tháng trước
4,Tuần / tháng / năm,Mina bài 5,2,こんしゅう nghĩa là gì?,こんしゅう,tuần này,tuần trước,tuần sau,tháng này
4,Tuần / tháng / năm,Mina bài 5,3,らいしゅう nghĩa là gì?,らいしゅう,tuần sau,tuần này,tuần trước,năm sau
4,Tuần / tháng / năm,Mina bài 5,4,せんげつ nghĩa là gì?,せんげつ,tháng trước,tháng này,tháng sau,tuần trước
4,Tuần / tháng / năm,Mina bài 5,5,こんげつ nghĩa là gì?,こんげつ,tháng này,tháng trước,tháng sau,năm nay
4,Tuần / tháng / năm,Mina bài 5,6,らいげつ nghĩa là gì?,らいげつ,tháng sau,tháng này,tháng trước,tuần sau
4,Tuần / tháng / năm,Mina bài 5,7,きょねん nghĩa là gì?,きょねん,năm ngoái,năm nay,năm sau,tháng trước
4,Tuần / tháng / năm,Mina bài 5,8,ことし nghĩa là gì?,ことし,năm nay,năm ngoái,năm sau,tuần này
4,Tuần / tháng / năm,Mina bài 5,9,らいねん nghĩa là gì?,らいねん,năm sau,năm nay,năm ngoái,tháng sau
4,Tuần / tháng / năm,Mina bài 5,10,らいしゅう 東京（とうきょう）へ 行きます（いきます） nghĩa là gì?,らいしゅう 東京（とうきょう）へ 行きます（いきます）,Tuần sau đi Tokyo.,Tuần này về Tokyo.,Tháng sau đến Tokyo.,Năm ngoái đi Tokyo.
