group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Sở thích / đồ vật,Mina bài 18,1,ピアノ nghĩa là gì?,piano nghĩa là gì?,Hỏi nghĩa của “ピアノ”.,đàn piano,internet,tiền mặt,mét
3,Sở thích / đồ vật,Mina bài 18,2,インターネット nghĩa là gì?,intaanetto nghĩa là gì?,Hỏi nghĩa của “インターネット”.,internet,đàn piano,tiền mặt,nhật ký
3,Sở thích / đồ vật,Mina bài 18,3,げんきん nghĩa là gì?,genkin nghĩa là gì?,Hỏi nghĩa của “げんきん”.,tiền mặt,mét,sở thích,cầu nguyện
3,Sở thích / đồ vật,Mina bài 18,4,メートル nghĩa là gì?,meetoru nghĩa là gì?,Hỏi nghĩa của “メートル”.,mét,tiền mặt,internet,nhật ký
3,Sở thích / đồ vật,Mina bài 18,5,しゅみ nghĩa là gì?,shumi nghĩa là gì?,Hỏi nghĩa của “しゅみ”.,sở thích,nhật ký,cầu nguyện,động vật
3,Sở thích / đồ vật,Mina bài 18,6,にっき nghĩa là gì?,nikki nghĩa là gì?,Hỏi nghĩa của “にっき”.,nhật ký,sở thích,tiền mặt,internet
3,Sở thích / đồ vật,Mina bài 18,7,おいのり nghĩa là gì?,oinori nghĩa là gì?,Hỏi nghĩa của “おいのり”.,cầu nguyện,nhật ký,sở thích,tham quan
3,Sở thích / đồ vật,Mina bài 18,8,ピアノを ひきます nghĩa là gì?,pianoを hikimasu nghĩa là gì?,Hỏi nghĩa của “ピアノを ひきます”.,chơi piano,hát piano,rửa piano,đổi piano
3,Sở thích / đồ vật,Mina bài 18,9,日記（にっき）を 書きます（かきます） nghĩa là gì?,nikki（nikki）を kakimasu（かきます） nghĩa là gì?,Hỏi nghĩa của “日記（にっき）を 書きます（かきます）”.,viết nhật ký,đọc tiền mặt,hát nhật ký,đặt chỗ nhật ký
3,Sở thích / đồ vật,Mina bài 18,10,現金（げんきん）で 払います（はらいます） nghĩa là gì?,genkin（genkin）で haraimasu（はらいます） nghĩa là gì?,Hỏi nghĩa của “現金（げんきん）で 払います（はらいます）”.,trả bằng tiền mặt,đặt bằng internet,đổi bằng mét,rửa bằng tiền mặt
