group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
1,Cách đọc Hiragana,JLPT N5 20137,1,いすの 【上】に ねこが います。,,Có con mèo ở trên ghế.,した,うえ,まえ,よこ
1,Cách đọc Hiragana,JLPT N5 20137,2,きのうから 【目】が いたいです。,,Từ hôm qua mắt tôi đau.,め,みみ,あたま,おなか
1,Cách đọc Hiragana,JLPT N5 20137,3,【父】の しゅみは テニスです。,,Sở thích của bố tôi là tennis.,あに,はは,ちち,あね
1,Cách đọc Hiragana,JLPT N5 20137,4,きょうは いい 【天気】ですね。,,Hôm nay thời tiết đẹp nhỉ.,てんき,でんき,でんぎ,てんぎ
1,Cách đọc Hiragana,JLPT N5 20137,5,きのう たなかさんに 【話しました】。,,Hôm qua tôi đã nói chuyện với anh/chị Tanaka.,はなしました,かしました,かえしました,わたしました
1,Cách đọc Hiragana,JLPT N5 20137,6,アパートの 【南がわ】に こうえんが あります。,,Ở phía nam căn hộ có công viên.,ひがしがわ,みなみがわ,きたがわ,にしがわ
1,Cách đọc Hiragana,JLPT N5 20137,7,そとに 【出て】 ください。,,Hãy ra ngoài.,だて,でて,でして,だして
1,Cách đọc Hiragana,JLPT N5 20137,8,あの 【女の子】は 5さいです。,,Cô bé kia 5 tuổi.,おんなのこう,おんなのこ,おなのこ,おなのこう
1,Cách đọc Hiragana,JLPT N5 20137,9,にほんごの せんせいは 【何人】 いますか。,,Có bao nhiêu giáo viên tiếng Nhật?,なんひと,なににん,なんにん,なにひと
1,Cách đọc Hiragana,JLPT N5 20137,10,この とけいは 【八百円】です。,,Đồng hồ này giá 800 yên.,はちぴゃくえん,はっひゃくえん,はっぴゃくえん,はちひゃくえん
1,Cách đọc Hiragana,JLPT N5 20137,11,【土よう日】に テストが あります。,,Thứ Bảy có bài kiểm tra.,かようび,きんようび,もくようび,どようび
1,Cách đọc Hiragana,JLPT N5 20137,12,けさは 【四時】に おきました。,,Sáng nay đã dậy lúc 4 giờ.,よんじ,よじ,くじ,きゅうじ
