のぼります	leo / trèo
とまります	trọ / ở lại
そうじします	dọn dẹp
せんたくします	giặt giũ
れんしゅうします	luyện tập

---

ねむい	buồn ngủ
つよい	mạnh
よわい	yếu
げんき	khỏe / năng động
きれい	đẹp / sạch
しずか	yên tĩnh
にぎやか	náo nhiệt
ひま	rảnh
べんり	tiện lợi
ゆうめい	nổi tiếng
ちょうし	tình trạng / phong độ
ちょうしが いい	tình trạng tốt
ちょうしが わるい	tình trạng xấu
からだに いい	tốt cho sức khỏe
ダイエット	ăn kiêng / giảm cân
むり	quá sức / không thể

---

ゴルフ	golf
すもう	sumo
パチンコ	pachinko
おちゃ	trà
ケーキ	bánh kem
ふじさん	núi Phú Sĩ
ひ	ngày
やまださん	anh/chị Yamada
たなかさん	anh/chị Tanaka

---

なります	trở nên / trở thành
だんだん	dần dần
もうすぐ	sắp / chẳng mấy nữa
いちど	một lần
いちども	một lần cũng không
いろいろ	nhiều thứ / nhiều việc
でも	nhưng

---

しばらくですね	lâu rồi nhỉ
かわりましたね	thay đổi rồi nhỉ
おげんきですか	anh/chị khỏe không?
おかげさまで	nhờ ơn trời / nhờ anh chị
そうですね	đúng vậy nhỉ / để xem
かんぱい	cạn ly
