group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Thời gian / giờ phút,Mina bài 4,1,いま nghĩa là gì?,ima nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,hôm nay,bây giờ,sáng nay,tối nay
3,Thời gian / giờ phút,Mina bài 4,2,〜じ nghĩa là gì?,...ji nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,... giờ,... phút,rưỡi,buổi sáng
3,Thời gian / giờ phút,Mina bài 4,3,〜ふん / 〜ぷん nghĩa là gì?,...fun / ...pun nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,... phút,... giờ,buổi chiều,nửa
3,Thời gian / giờ phút,Mina bài 4,4,はん nghĩa là gì?,han nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,rưỡi / nửa,mấy giờ,mấy phút,bây giờ
3,Thời gian / giờ phút,Mina bài 4,5,なんじ nghĩa là gì?,nanji nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,mấy giờ,mấy phút,hôm nay,sáng nay
3,Thời gian / giờ phút,Mina bài 4,6,なんぷん nghĩa là gì?,nanpun nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,mấy phút,mấy giờ,ngày mấy,thứ mấy
3,Thời gian / giờ phút,Mina bài 4,7,ごぜん nghĩa là gì?,gozen nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,buổi sáng / AM,buổi chiều / PM,buổi tối,buổi trưa
3,Thời gian / giờ phút,Mina bài 4,8,ごご nghĩa là gì?,gogo nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,buổi chiều / PM,buổi sáng / AM,buổi tối,sáng nay
3,Thời gian / giờ phút,Mina bài 4,9,いま なんじですか nghĩa là gì?,ima nanjidesu ka nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,Bây giờ là mấy giờ?,Hôm nay là thứ mấy?,Bây giờ là mấy phút?,Ngày mai là ngày gì?
3,Thời gian / giờ phút,Mina bài 4,10,7じ はん nghĩa là gì?,nana-ji han nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,7 giờ rưỡi,7 giờ đúng,7 phút,7 giờ sáng mai
