group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,1,くにへ かえるの và どうするの khác nhau thế nào?,Phân biệt từ dễ nhầm.,くにへ かえるの hỏi “về nước à?”; どうするの hỏi “định làm gì?”,くにへ かえるの hỏi “định làm gì?”; どうするの hỏi “về nước à?”,Cả hai đều là “nếu được”,Cả hai đều là “không biết làm gì”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,2,どうするの và どうしようかな khác nhau thế nào?,Phân biệt từ dễ nhầm.,どうするの hỏi người khác định làm gì; どうしようかな là tự phân vân,どうするの là tự phân vân; どうしようかな hỏi về nước,Cả hai đều là “về nước à?”,Cả hai đều là “nhưng”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,3,サラリーマン và かいしゃいん khác nhau thế nào?,Phân biệt từ dễ nhầm.,サラリーマン là nhân viên công ty kiểu thông dụng; かいしゃいん cũng là nhân viên công ty,サラリーマン là học sinh; かいしゃいん là giáo viên,Cả hai đều là bác sĩ,Cả hai đều là trưởng phòng
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,4,〜くん và 〜さん khác nhau thế nào?,Phân biệt từ dễ nhầm.,"〜くん thường gọi nam/người dưới; 〜さん lịch sự, dùng rộng hơn",〜くん lịch sự hơn 〜さん,Cả hai chỉ dùng cho đồ vật,Cả hai đều nghĩa là “tôi”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,5,こっち và こちら khác nhau thế nào?,Phân biệt từ dễ nhầm.,こっち thân mật hơn; こちら lịch sự hơn,こちら thân mật hơn; こっち lịch sự hơn,Cả hai đều nghĩa là “kết thúc”,Cả hai đều nghĩa là “nhưng”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,6,そっち và そちら khác nhau thế nào?,Phân biệt từ dễ nhầm.,そっち thân mật hơn; そちら lịch sự hơn,そちら thân mật hơn; そっち lịch sự hơn,Cả hai đều nghĩa là visa,Cả hai đều nghĩa là vật giá
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,7,あっち và あちら khác nhau thế nào?,Phân biệt từ dễ nhầm.,あっち thân mật hơn; あちら lịch sự hơn,あちら thân mật hơn; あっち lịch sự hơn,Cả hai đều nghĩa là “tôi”,Cả hai đều nghĩa là “ngôn ngữ”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,8,うん và はい khác nhau thế nào?,Phân biệt từ dễ nhầm.,うん thân mật; はい lịch sự hơn,はい thân mật; うん lịch sự hơn,Cả hai đều nghĩa là “không”,Cả hai đều nghĩa là “nhưng”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,9,ううん và いいえ khác nhau thế nào?,Phân biệt từ dễ nhầm.,ううん thân mật; いいえ lịch sự hơn,いいえ thân mật; ううん lịch sự hơn,Cả hai đều nghĩa là “vâng”,Cả hai đều nghĩa là “nếu được”
13,Phân biệt từ dễ nhầm / câu,Mina bài 20,10,いろいろ và みんなで khác nhau thế nào?,Phân biệt từ dễ nhầm.,いろいろ là nhiều thứ; みんなで là mọi người cùng nhau,いろいろ là mọi người; みんなで là nhiều loại,Cả hai đều là phía này,Cả hai đều là ban đầu
