group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
1,Động từ di chuyển / thao tác,Mina bài 16,1,のります nghĩa là gì?,norimasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,lên / đi phương tiện,xuống phương tiện,chuyển tuyến,bấm / nhấn
1,Động từ di chuyển / thao tác,Mina bài 16,2,おります nghĩa là gì?,orimasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,xuống phương tiện,lên phương tiện,vào,ra
1,Động từ di chuyển / thao tác,Mina bài 16,3,のりかえます nghĩa là gì?,norikaemasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,chuyển / đổi tuyến xe,xuống xe,tắm,tốt nghiệp
1,Động từ di chuyển / thao tác,Mina bài 16,4,あびます nghĩa là gì?,abimasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,tắm / dội,bấm,bỏ vào,lấy ra
1,Động từ di chuyển / thao tác,Mina bài 16,5,いれます nghĩa là gì?,iremasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,cho vào / bỏ vào,lấy ra / nộp,vào,ra
1,Động từ di chuyển / thao tác,Mina bài 16,6,だします nghĩa là gì?,dashimasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,lấy ra / nộp / gửi,cho vào,lên xe,chuyển tuyến
1,Động từ di chuyển / thao tác,Mina bài 16,7,入ります（はいります） nghĩa là gì?,入 rimasu hairimasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,vào,ra,nghỉ / bỏ,bấm
1,Động từ di chuyển / thao tác,Mina bài 16,8,出ます（でます） nghĩa là gì?,出 masu demasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,ra / tốt nghiệp,vào,tắm,lên xe
1,Động từ di chuyển / thao tác,Mina bài 16,9,やめます nghĩa là gì?,yamemasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,nghỉ / bỏ,bắt đầu,vào,lấy ra
1,Động từ di chuyển / thao tác,Mina bài 16,10,おします nghĩa là gì?,oshimasu ngh a l g,Chọn nghĩa tiếng Việt đúng.,bấm / nhấn,cho vào,lấy ra,chuyển tuyến
