group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
5,Câu hỏi / nhà ở,Mina bài 22,1,こちら,Nghĩa là gì?,vị này / phía này,ai,khi nào,ở đâu
5,Câu hỏi / nhà ở,Mina bài 22,2,どんな,Nghĩa là gì?,như thế nào,cái/người nào,ai,khi nào
5,Câu hỏi / nhà ở,Mina bài 22,3,どの,Nghĩa là gì?,cái/người nào,như thế nào,ở đâu,khi nào
5,Câu hỏi / nhà ở,Mina bài 22,4,誰（だれ）,Nghĩa là gì?,ai,ở đâu,cái nào,như thế nào
5,Câu hỏi / nhà ở,Mina bài 22,5,いつ,Nghĩa là gì?,khi nào,ai,ở đâu,cái nào
5,Câu hỏi / nhà ở,Mina bài 22,6,どこ,Nghĩa là gì?,ở đâu,khi nào,ai,như thế nào
5,Câu hỏi / nhà ở,Mina bài 22,7,やちん,Nghĩa là gì?,tiền thuê nhà,căn hộ,chung cư,phòng kiểu Nhật
5,Câu hỏi / nhà ở,Mina bài 22,8,ダイニングキッチン,Nghĩa là gì?,phòng ăn + bếp,phòng kiểu Nhật,tủ âm tường,đệm futon
5,Câu hỏi / nhà ở,Mina bài 22,9,わしつ,Nghĩa là gì?,phòng kiểu Nhật,phòng ăn + bếp,căn hộ,chung cư
5,Câu hỏi / nhà ở,Mina bài 22,10,おしいれ,Nghĩa là gì?,tủ âm tường,đệm futon,tiền thuê nhà,căn hộ
