これ	cái này / đây
それ	cái đó / đó
あれ	cái kia / kia
この	này
その	đó
あの	kia
ほん	sách
じしょ	từ điển
ざっし	tạp chí
しんぶん	báo

---

ノート	vở
てちょう	sổ tay
めいし	danh thiếp
カード	thẻ
テレホンカード	thẻ điện thoại
えんぴつ	bút chì
ボールペン	bút bi
シャープペンシル	bút chì kim
かぎ	chìa khóa
とけい	đồng hồ

---

かさ	ô / dù
かばん	cặp / túi xách
カセットテープ	băng cassette
テープレコーダー	máy ghi âm
テレビ	tivi
ラジオ	radio
カメラ	máy ảnh
コンピューター	máy tính
じどうしゃ	ô tô / xe hơi
つくえ	bàn

---

いす	ghế
チョコレート	sô cô la
コーヒー	cà phê
えいご	tiếng Anh
にほんご	tiếng Nhật
〜ご	tiếng...
なん	cái gì
そう	vậy / như vậy
ちがいます	không phải / sai rồi
そうですか	vậy à

---

あのう	à... / ừm...
ほんの きもちです	chỉ là chút lòng thành
どうぞ	xin mời / xin nhận
どうも	cảm ơn / rất
ありがとうございます	cảm ơn
そうです	đúng vậy
これから おせわに なります	từ nay mong được giúp đỡ
こちらこそ よろしく	chính tôi mới mong được giúp đỡ
