group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,1,“mọi người cùng nhau” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,みんなで,ぼく,きみ,うん
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,2,“phía này / cái này” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,こっち,そっち,あっち,どっち
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,3,“phía đó / cái đó” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,そっち,こっち,あっち,どっち
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,4,“phía kia / cái kia” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,あっち,そっち,こっち,どっち
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,5,“phía nào / cái nào” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,どっち,こっち,そっち,あっち
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,6,“đầu / ban đầu” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,はじめ,おわり,このあいだ,いろいろ
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,7,“cuối / kết thúc” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,おわり,はじめ,こっち,けど
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,8,“hôm nọ / vừa rồi” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,このあいだ,はじめ,おわり,どっち
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,9,“nhiều thứ / nhiều loại” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,いろいろ,けど,よかったら,どうしようかな
6,Việt → Nhật / phương hướng và câu nói,Mina bài 20,10,“nếu được / nếu bạn muốn” là từ nào?,Chọn đáp án tiếng Nhật phù hợp.,よかったら,けど,くにへ かえるの,どうするの
