group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
13,Chọn kanji đúng,Mina bài 4,1,“bây giờ” viết bằng kanji nào?,“bây giờ” viết bằng kanji nào?,“bây giờ” viết bằng kanji nào?,今,日,月,年
13,Chọn kanji đúng,Mina bài 4,2,“giờ” là kanji nào?,“giờ” là kanji nào?,“giờ” là kanji nào?,時,分,半,今
13,Chọn kanji đúng,Mina bài 4,3,“phút” là kanji nào?,“phút” là kanji nào?,“phút” là kanji nào?,分,時,半,午
13,Chọn kanji đúng,Mina bài 4,4,“nửa / rưỡi” là kanji nào?,“nửa / rưỡi” là kanji nào?,“nửa / rưỡi” là kanji nào?,半,分,時,前
13,Chọn kanji đúng,Mina bài 4,5,“buổi sáng / AM” viết bằng kanji nào?,“buổi sáng / AM” viết bằng kanji nào?,“buổi sáng / AM” viết bằng kanji nào?,午前,午後,朝,夜
13,Chọn kanji đúng,Mina bài 4,6,“buổi chiều / PM” viết bằng kanji nào?,“buổi chiều / PM” viết bằng kanji nào?,“buổi chiều / PM” viết bằng kanji nào?,午後,午前,昼,朝
13,Chọn kanji đúng,Mina bài 4,7,“buổi sáng” viết bằng kanji nào?,“buổi sáng” viết bằng kanji nào?,“buổi sáng” viết bằng kanji nào?,朝,昼,夜,今
13,Chọn kanji đúng,Mina bài 4,8,“buổi trưa” viết bằng kanji nào?,“buổi trưa” viết bằng kanji nào?,“buổi trưa” viết bằng kanji nào?,昼,朝,夜,午後
13,Chọn kanji đúng,Mina bài 4,9,“buổi tối / đêm” viết bằng kanji nào?,“buổi tối / đêm” viết bằng kanji nào?,“buổi tối / đêm” viết bằng kanji nào?,夜,朝,昼,午前
13,Chọn kanji đúng,Mina bài 4,10,“hôm nay” viết bằng kanji nào?,“hôm nay” viết bằng kanji nào?,“hôm nay” viết bằng kanji nào?,今日,明日,昨日,今朝
