group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Đồ vật / dịp đặc biệt,Mina bài 24,1,おかし nghĩa là gì?,Okashi nghĩa là gì,おかし nghĩa là gì?,bánh kẹo,cơm hộp,quà tặng,xe wagon
3,Đồ vật / dịp đặc biệt,Mina bài 24,2,お弁当（おべんとう） nghĩa là gì?,Obentou nghĩa là gì,お弁当（おべんとう） nghĩa là gì?,cơm hộp,bánh kẹo,quà tặng,chuẩn bị
3,Đồ vật / dịp đặc biệt,Mina bài 24,3,プレゼント nghĩa là gì?,Purezento nghĩa là gì,プレゼント nghĩa là gì?,quà tặng,cơm hộp,bánh kẹo,chuyển nhà
3,Đồ vật / dịp đặc biệt,Mina bài 24,4,母の日（ははのひ） nghĩa là gì?,Hahanohi nghĩa là gì,母の日（ははのひ） nghĩa là gì?,Ngày của Mẹ,ngày sinh nhật,ngày chuyển nhà,ngày chuẩn bị
3,Đồ vật / dịp đặc biệt,Mina bài 24,5,全部（ぜんぶ） nghĩa là gì?,Zenbu nghĩa là gì,全部（ぜんぶ） nghĩa là gì?,toàn bộ / tất cả,tự mình,ngoài ra,đẹp / tuyệt
3,Đồ vật / dịp đặc biệt,Mina bài 24,6,自分で（じぶんで） nghĩa là gì?,Jibunde nghĩa là gì,自分で（じぶんで） nghĩa là gì?,tự mình,tất cả,ngoài ra,cùng nhau
3,Đồ vật / dịp đặc biệt,Mina bài 24,7,ほかに nghĩa là gì?,Hoka ni nghĩa là gì,ほかに nghĩa là gì?,ngoài ra,tự mình,toàn bộ,trước tiên
3,Đồ vật / dịp đặc biệt,Mina bài 24,8,ワゴンしゃ nghĩa là gì?,Wagonsha nghĩa là gì,ワゴンしゃ nghĩa là gì?,xe wagon,xe buýt,taxi,tàu điện
3,Đồ vật / dịp đặc biệt,Mina bài 24,9,すてき nghĩa là gì?,Suteki nghĩa là gì,すてき nghĩa là gì?,đẹp / tuyệt,dễ thương,quan trọng,tiện lợi
3,Đồ vật / dịp đặc biệt,Mina bài 24,10,すてきな プレゼント nghĩa là gì?,Suteki na purezento nghĩa là gì,すてきな プレゼント nghĩa là gì?,món quà đẹp / tuyệt,cơm hộp ngon,bánh kẹo rẻ,xe wagon mới
