group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
14,Đọc kanji / ngoại hình,Mina bài 22,1,高い,Chọn cách đọc đúng.,たかい,やすい,ひくい,ながい
14,Đọc kanji / ngoại hình,Mina bài 22,2,背が高い,Chọn cách đọc đúng.,せがたかい,せがひくい,かみがながい,かみがみじかい
14,Đọc kanji / ngoại hình,Mina bài 22,3,背が低い,Chọn cách đọc đúng.,せがひくい,せがたかい,かみがながい,かみがみじかい
14,Đọc kanji / ngoại hình,Mina bài 22,4,長い,Chọn cách đọc đúng.,ながい,みじかい,たかい,ひくい
14,Đọc kanji / ngoại hình,Mina bài 22,5,短い,Chọn cách đọc đúng.,みじかい,ながい,ひくい,たかい
14,Đọc kanji / ngoại hình,Mina bài 22,6,生まれます,Chọn cách đọc đúng.,うまれます,いまれます,うまります,せいまれます
14,Đọc kanji / ngoại hình,Mina bài 22,7,誰,Chọn cách đọc đúng.,だれ,どこ,いつ,どの
14,Đọc kanji / ngoại hình,Mina bài 22,8,和室,Chọn cách đọc đúng.,わしつ,ようしつ,へや,おしいれ
14,Đọc kanji / ngoại hình,Mina bài 22,9,押し入れ,Chọn cách đọc đúng.,おしいれ,いれもの,わしつ,ふとん
14,Đọc kanji / ngoại hình,Mina bài 22,10,家賃,Chọn cách đọc đúng.,やちん,いえちん,かちん,やじん
