group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
11,Điền vào câu,Mina bài 9,1,わたしは 日本語（にほんご）が＿＿＿。,わたしは 日本語（にほんご）が＿＿＿。,わかります,あります,すき,へた
11,Điền vào câu,Mina bài 9,2,わたしは 時間（じかん）が＿＿＿。,わたしは 時間（じかん）が＿＿＿。,あります,わかります,きらい,じょうず
11,Điền vào câu,Mina bài 9,3,わたしは スポーツが＿＿＿です。,わたしは スポーツが＿＿＿です。,すき,あります,わかります,たくさん
11,Điền vào câu,Mina bài 9,4,わたしは やきゅうが＿＿＿です。,わたしは やきゅうが＿＿＿です。,きらい,あります,わかります,はやく
11,Điền vào câu,Mina bài 9,5,山田（やまだ）さんは ダンスが＿＿＿です。,山田（やまだ）さんは ダンスが＿＿＿です。,じょうず,時間（じかん）,ようじ,から
11,Điền vào câu,Mina bài 9,6,わたしは 料理（りょうり）が＿＿＿です。,わたしは 料理（りょうり）が＿＿＿です。,へた,チケット,こまかい お金（おかね）,どうして
11,Điền vào câu,Mina bài 9,7,コンサートの＿＿＿が あります。,コンサートの＿＿＿が あります。,チケット,ダンス,ひらがな,から
11,Điền vào câu,Mina bài 9,8,きょうは＿＿＿が あります。,きょうは＿＿＿が あります。,ようじ,よく,ぜんぜん,ざんねんです
11,Điền vào câu,Mina bài 9,9,あした 友達（ともだち）と＿＿＿が あります。,あした 友達（ともだち）と＿＿＿が あります。,やくそく,だいたい,はやく,から
11,Điền vào câu,Mina bài 9,10,こまかい お金（おかね）が＿＿＿。,こまかい お金（おかね）が＿＿＿。,あります,わかります,すきです,へたです
