group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
2,Đồ vật trong nhà,Mina bài 10,1,ぞう nghĩa là gì?,zou nghia la gi?,ぞう nghĩa là gì?,voi,gấu trúc,chó,mèo
2,Đồ vật trong nhà,Mina bài 10,2,木（き） nghĩa là gì?,ki nghia la gi?,木（き） nghĩa là gì?,cây,hộp,pin,công tắc
2,Đồ vật trong nhà,Mina bài 10,3,もの nghĩa là gì?,mono nghia la gi?,もの nghĩa là gì?,đồ vật,cây,hộp,cửa
2,Đồ vật trong nhà,Mina bài 10,4,でんち nghĩa là gì?,denchi nghia la gi?,でんち nghĩa là gì?,pin,công tắc,tủ lạnh,kệ
2,Đồ vật trong nhà,Mina bài 10,5,はこ nghĩa là gì?,hako nghia la gi?,はこ nghĩa là gì?,hộp,pin,giường,bàn
2,Đồ vật trong nhà,Mina bài 10,6,スイッチ nghĩa là gì?,suicchi nghia la gi?,スイッチ nghĩa là gì?,công tắc,pin,tủ lạnh,cửa sổ
2,Đồ vật trong nhà,Mina bài 10,7,れいぞうこ nghĩa là gì?,reizouko nghia la gi?,れいぞうこ nghĩa là gì?,tủ lạnh,kệ,giường,cửa
2,Đồ vật trong nhà,Mina bài 10,8,テーブル nghĩa là gì?,teeburu nghia la gi?,テーブル nghĩa là gì?,bàn,giường,kệ,cửa sổ
2,Đồ vật trong nhà,Mina bài 10,9,ベッド nghĩa là gì?,beddo nghia la gi?,ベッド nghĩa là gì?,giường,bàn,kệ,tủ lạnh
2,Đồ vật trong nhà,Mina bài 10,10,たな nghĩa là gì?,tana nghia la gi?,たな nghĩa là gì?,kệ,hộp,bàn,giường
