group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
13,Chọn kanji đúng,Mina bài 14,1,“nói chuyện” viết bằng kanji nào?,ni chuyn,“nói chuyện” viết bằng kanji nào?,話します,聞きます,読みます,書きます
13,Chọn kanji đúng,Mina bài 14,2,“tên” viết bằng kanji nào?,tn,“tên” viết bằng kanji nào?,名前,地図,住所,読み方
13,Chọn kanji đúng,Mina bài 14,3,“địa chỉ” viết bằng kanji nào?,a ch,“địa chỉ” viết bằng kanji nào?,住所,名前,地図,右
13,Chọn kanji đúng,Mina bài 14,4,“bản đồ” viết bằng kanji nào?,bn,“bản đồ” viết bằng kanji nào?,地図,住所,名前,左
13,Chọn kanji đúng,Mina bài 14,5,“cách đọc” viết bằng kanji nào?,cch c,“cách đọc” viết bằng kanji nào?,読み方,書き方,話し方,名前
13,Chọn kanji đúng,Mina bài 14,6,“bên phải” viết bằng kanji nào?,bn phi,“bên phải” viết bằng kanji nào?,右,左,上,下
13,Chọn kanji đúng,Mina bài 14,7,“bên trái” viết bằng kanji nào?,bn tri,“bên trái” viết bằng kanji nào?,左,右,前,後
13,Chọn kanji đúng,Mina bài 14,8,“điện / đèn” viết bằng kanji nào?,in n,“điện / đèn” viết bằng kanji nào?,電気,電話,電車,天気
13,Chọn kanji đúng,Mina bài 14,9,“xe” viết bằng kanji nào?,xe,“xe” viết bằng kanji nào?,車,電,駅,道
13,Chọn kanji đúng,Mina bài 14,10,“mưa” viết bằng kanji nào?,ma,“mưa” viết bằng kanji nào?,雨,雪,空,水
