group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Vị trí,Mina bài 10,1,上（うえ） nghĩa là gì?,上（うえ） nghĩa là gì?,trên,dưới,trước,sau
4,Vị trí,Mina bài 10,2,下（した） nghĩa là gì?,下（した） nghĩa là gì?,dưới,trên,bên phải,bên trái
4,Vị trí,Mina bài 10,3,前（まえ） nghĩa là gì?,前（まえ） nghĩa là gì?,trước,sau,gần,giữa
4,Vị trí,Mina bài 10,4,うしろ nghĩa là gì?,うしろ nghĩa là gì?,sau,trước,bên ngoài,bên trong
4,Vị trí,Mina bài 10,5,右（みぎ） nghĩa là gì?,右（みぎ） nghĩa là gì?,bên phải,bên trái,trên,dưới
4,Vị trí,Mina bài 10,6,左（ひだり） nghĩa là gì?,左（ひだり） nghĩa là gì?,bên trái,bên phải,trước,sau
4,Vị trí,Mina bài 10,7,中（なか） nghĩa là gì?,中（なか） nghĩa là gì?,bên trong,bên ngoài,gần,bên cạnh
4,Vị trí,Mina bài 10,8,外（そと） nghĩa là gì?,外（そと） nghĩa là gì?,bên ngoài,bên trong,giữa,gần
4,Vị trí,Mina bài 10,9,となり nghĩa là gì?,となり nghĩa là gì?,bên cạnh,gần,giữa,trên cùng
4,Vị trí,Mina bài 10,10,近く（ちかく） nghĩa là gì?,近く（ちかく） nghĩa là gì?,gần,bên cạnh,giữa,dưới cùng
