group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,1,“cặp / túi xách” là từ nào?,,“cặp / túi xách” là từ nào?,かばん,かさ,つくえ,いす
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,2,“băng cassette” là từ nào?,,“băng cassette” là từ nào?,カセットテープ,テープレコーダー,ラジオ,テレビ
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,3,“máy ghi âm” là từ nào?,,“máy ghi âm” là từ nào?,テープレコーダー,カセットテープ,カメラ,コンピューター
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,4,“tivi” là từ nào?,,“tivi” là từ nào?,テレビ,ラジオ,カメラ,コンピューター
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,5,“radio” là từ nào?,,“radio” là từ nào?,ラジオ,テレビ,カセットテープ,テープレコーダー
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,6,“máy ảnh” là từ nào?,,“máy ảnh” là từ nào?,カメラ,コンピューター,テレビ,ラジオ
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,7,“máy tính” là từ nào?,,“máy tính” là từ nào?,コンピューター,カメラ,テープレコーダー,テレビ
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,8,“ô tô / xe hơi” là từ nào?,,“ô tô / xe hơi” là từ nào?,じどうしゃ,つくえ,いす,かばん
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,9,“bàn” là từ nào?,,“bàn” là từ nào?,つくえ,いす,かばん,かさ
8,Việt → Nhật / thiết bị và đồ vật,Mina bài 2,10,“ghế” là từ nào?,,“ghế” là từ nào?,いす,つくえ,とけい,かぎ
