group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Phòng / khu vực trong tòa nhà,Mina bài 3,1,きょうしつ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,lớp học / phòng học,phòng họp,văn phòng,nhà ăn
2,Phòng / khu vực trong tòa nhà,Mina bài 3,2,しょくどう nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,nhà ăn,văn phòng,sảnh,quầy tiếp tân
2,Phòng / khu vực trong tòa nhà,Mina bài 3,3,じむしょ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,văn phòng,phòng học,nhà vệ sinh,cầu thang
2,Phòng / khu vực trong tòa nhà,Mina bài 3,4,かいぎしつ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phòng họp,văn phòng,nhà ăn,sảnh
2,Phòng / khu vực trong tòa nhà,Mina bài 3,5,うけつけ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,quầy tiếp tân,phòng họp,tầng hầm,nhà vệ sinh
2,Phòng / khu vực trong tòa nhà,Mina bài 3,6,ロビー nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,sảnh,phòng,công ty,quầy bán hàng
2,Phòng / khu vực trong tòa nhà,Mina bài 3,7,へや nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phòng,sảnh,nhà ăn,tầng hầm
2,Phòng / khu vực trong tòa nhà,Mina bài 3,8,トイレ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,nhà vệ sinh,cầu thang,thang máy,thang cuốn
2,Phòng / khu vực trong tòa nhà,Mina bài 3,9,おてあらい nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,nhà vệ sinh,văn phòng,phòng học,sảnh
2,Phòng / khu vực trong tòa nhà,Mina bài 3,10,かいだん nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,cầu thang,thang máy,thang cuốn,tầng hầm
