group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
6,Thể ない,Minna bài 17,1,ここでたばこを吸わ＿＿ください。,Koko de tabako o suwa___ kudasai.,Xin đừng hút thuốc ở đây.,ないで,なくて,ません,ない
6,Thể ない,Minna bài 17,2,明日早く起き＿＿なりません。,Ashita hayaku oki___ narimasen.,Ngày mai tôi phải dậy sớm.,なければ,ないで,なくても,ません
6,Thể ない,Minna bài 17,3,今日は学校へ行か＿＿もいいです。,Kyou wa gakkou e ika___ mo ii desu.,Hôm nay không đi học cũng được.,なくて,ないで,なければ,ません
6,Thể ない,Minna bài 17,4,薬を飲ま＿＿なりません。,Kusuri o noma___ narimasen.,Tôi phải uống thuốc.,なければ,ないで,なくて,ません
6,Thể ない,Minna bài 17,5,ここに車を止め＿＿ください。,Koko ni kuruma o tome___ kudasai.,Xin đừng đỗ xe ở đây.,ないで,なくて,ません,ない
6,Thể ない,Minna bài 17,6,宿題をし＿＿なりません。,Shukudai o shi___ narimasen.,Tôi phải làm bài tập.,なければ,ないで,なくて,ません
6,Thể ない,Minna bài 17,7,名前を書か＿＿もいいです。,Namae o kaka___ mo ii desu.,Không viết tên cũng được.,なくて,ないで,なければ,ません
6,Thể ない,Minna bài 17,8,写真を撮ら＿＿ください。,Shashin o tora___ kudasai.,Xin đừng chụp ảnh.,ないで,なくて,ません,ない
6,Thể ない,Minna bài 17,9,パスポートを見せ＿＿なりません。,Pasupooto o mise___ narimasen.,Tôi phải cho xem hộ chiếu.,なければ,ないで,なくて,ません
6,Thể ない,Minna bài 17,10,今日は残業し＿＿もいいです。,Kyou wa zangyou shi___ mo ii desu.,Hôm nay không tăng ca cũng được.,なくて,ないで,なければ,ません
6,Thể ない,Minna bài 17,11,この部屋に入ら＿＿ください。,Kono heya ni haira___ kudasai.,Xin đừng vào phòng này.,ないで,なくて,ません,ない
6,Thể ない,Minna bài 17,12,毎日練習し＿＿なりません。,Mainichi renshuu shi___ narimasen.,Tôi phải luyện tập mỗi ngày.,なければ,ないで,なくて,ません
