group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / đồ dùng,Mina bài 2,1,“vở” là từ nào?,,“vở” là từ nào?,ノート,てちょう,本（ほん）,じしょ
7,Việt → Nhật / đồ dùng,Mina bài 2,2,“sổ tay” là từ nào?,,“sổ tay” là từ nào?,ノート,てちょう,めいし,カード
7,Việt → Nhật / đồ dùng,Mina bài 2,3,“danh thiếp” là từ nào?,,“danh thiếp” là từ nào?,めいし,カード,テレホンカード,かぎ
7,Việt → Nhật / đồ dùng,Mina bài 2,4,“thẻ” là từ nào?,,“thẻ” là từ nào?,カード,めいし,ノート,てちょう
7,Việt → Nhật / đồ dùng,Mina bài 2,5,“bút chì” là từ nào?,,“bút chì” là từ nào?,えんぴつ,ボールペン,シャープペンシル,かぎ
7,Việt → Nhật / đồ dùng,Mina bài 2,6,“bút bi” là từ nào?,,“bút bi” là từ nào?,ボールペン,えんぴつ,シャープペンシル,とけい
7,Việt → Nhật / đồ dùng,Mina bài 2,7,“bút chì kim” là từ nào?,,“bút chì kim” là từ nào?,シャープペンシル,えんぴつ,ボールペン,カード
7,Việt → Nhật / đồ dùng,Mina bài 2,8,“chìa khóa” là từ nào?,,“chìa khóa” là từ nào?,かぎ,とけい,かさ,かばん
7,Việt → Nhật / đồ dùng,Mina bài 2,9,“đồng hồ” là từ nào?,,“đồng hồ” là từ nào?,とけい,かぎ,カメラ,ラジオ
7,Việt → Nhật / đồ dùng,Mina bài 2,10,“ô / dù” là từ nào?,,“ô / dù” là từ nào?,かさ,かばん,つくえ,いす
