group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
2,Tính từ い / な,"Minna bài 8, 12",1,この本は＿＿です。,Kono hon wa ___ desu.,Quyển sách này thú vị.,おもしろい,しずか,きれい,にぎやか
2,Tính từ い / な,"Minna bài 8, 12",2,この町は＿＿です。,Kono machi wa ___ desu.,Thị trấn này yên tĩnh.,しずか,高い,新しい,暑い
2,Tính từ い / な,"Minna bài 8, 12",3,きのうは＿＿です。,Kinou wa ___ desu.,Hôm qua trời nóng.,暑かった,暑い,暑くない,暑くありませんでした
2,Tính từ い / な,"Minna bài 8, 12",4,このへやは＿＿ありません。,Kono heya wa ___ arimasen.,Căn phòng này không rộng.,広く,広い,広かった,広くて
2,Tính từ い / な,"Minna bài 8, 12",5,奈良は＿＿町です。,Nara wa ___ machi desu.,Nara là thành phố đẹp.,きれいな,きれい,おいしい,高い
2,Tính từ い / な,"Minna bài 8, 12",6,この料理は＿＿ないです。,Kono ryouri wa ___ nai desu.,Món ăn này không ngon.,おいしく,おいしい,おいしかった,おいしくて
2,Tính từ い / な,"Minna bài 8, 12",7,田中さんは＿＿人です。,Tanaka-san wa ___ hito desu.,Anh Tanaka là người tốt bụng.,親切な,親切,高い,古い
2,Tính từ い / な,"Minna bài 8, 12",8,この車は＿＿です。,Kono kuruma wa ___ desu.,Chiếc xe này mới.,新しい,新しく,しずか,便利
2,Tính từ い / な,"Minna bài 8, 12",9,この問題は＿＿です。,Kono mondai wa ___ desu.,Câu hỏi này dễ.,やさしい,やさしく,元気,きれい
2,Tính từ い / な,"Minna bài 8, 12",10,駅は＿＿です。,Eki wa ___ desu.,Nhà ga tiện lợi.,便利,便利な,安い,寒い
2,Tính từ い / な,"Minna bài 8, 12",11,このかばんは＿＿ありませんでした。,Kono kaban wa ___ arimasen deshita.,Cái cặp này đã không đắt.,高く,高い,高かった,高くて
2,Tính từ い / な,"Minna bài 8, 12",12,山田さんは＿＿です。,Yamada-san wa ___ desu.,Anh Yamada khỏe.,元気,元気な,新しい,暑い
